title,item,quantity,unit_cost_rs,unit_cost_usd,total_rs,total_usd,link
Quartz/Robu/Aero,100 nF Capacitor 0603 (pack of 20),1,11 rs,,11 rs,,https://quartzcomponents.com/products/kemet-100nf-50v-0603-smd-pack-x7r-multilayer-ceramic-capacitor-10-tolerence-pack-of-20?variant=45972486193386&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopnfKv3gKdibyX3qxzEoiDa6hgtUaGOK5H7Lh-MDVl_BFFMZAF-OTY
Quartz/Robu/Aero,10 uf Capacitor 0603 (pack of 20),1,21 rs,,21 rs,,http://quartzcomponents.com/products/kemet-10uf-50v-0603-smd-pack-x5r-multilayer-ceramic-capacitor-20-tolerence-pack-of-20?variant=45972488650986&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOormQjJdVIfUPm8Jzy_H09CPX3UB9iPiFBMJn146FeXnQVx0CRSwGLQ
Quartz/Robu/Aero,1 uf Capacitor 0603 (pack of 20),1,15 rs,,15 rs,,https://quartzcomponents.com/products/kemet-1uf-50v-0603-smd-pack-x5r-multilayer-ceramic-capacitor-20-tolerence-pack-of-20?variant=45972488618218&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoodm79gzi-zqNkVgIbF4FZf7b6woSnsmceA7LnPTW8xGegxe5R3Pns
Quartz/Robu/Aero,470 uF electrolytic capacitor SMD,1,11 rs,,11 rs,,https://quartzcomponents.com/products/470uf-16v-smd-electrolytic-capacitor?variant=44687016198378&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoo1qnhF7xqrfm20LRN1f3cxOEsIv1kXltBlRScw_uugCixvfBv1LBU
Quartz/Robu/Aero,100 uF electrolytic capacitor SMD,1,7 rs,,7 rs,,https://quartzcomponents.com/products/100uf-35v-smd-electrolytic-capacitor?variant=44686980612330&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopRpYsIrRTNkJwJFE-qxznmR0F21zJkkX88dSpECcPY746rEjhJZ18
Quartz/Robu/Aero,1k resistor 0603 (pack of 20),1,8 rs,,8 rs,,https://quartzcomponents.com/products/1k-ohm-0603-package-1-10w-smd-resistor-5-tolerance-pack-of-20-pieces?variant=44678124044522&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooTZUS1zsB4f3PE5dWbeMA6i-khZqG8HhMp-ZGxgsbvsS7hYUcOOro
Quartz/Robu/Aero,10K resistor 0603 (pack of 20),1,9 rs,,9 rs,,https://quartzcomponents.com/products/yageo-10k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45952340623594&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop3qqJtrJQFl8tLjY1rHIezBc7-mGV0Q7ZtnD6Ue6rfLTnygAlYDqg
Quartz/Robu/Aero,1.2k resistor 0603 (pack of 20),1,8 rs,,8 rs,,https://quartzcomponents.com/products/1-2k-ohm-0603-package-1-10w-smd-resistor-5-tolerance-pack-of-20-pieces?variant=44677795971306&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqCzmcPi8RWpmCdTY6m1ArLwkAM38tK01N18EkXct6kPDtXUde1lPQ
Quartz/Robu/Aero,100Ω resistor 0603 (pack of 20),1,9 rs,,9 rs,,http://quartzcomponents.com/products/yageo-100-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45952333578474&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopiorQMJMH0dD5hcQRUIVfxJ6WvwUaRMObZnqLVLO1lfMPZVC1F0EE
Quartz/Robu/Aero,5.1k resistor 0603 (pack of 20),1,6 rs,,6 rs,,https://quartzcomponents.com/products/yageo-5-1k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45985100988650&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorH8L1eFtB1-geEdVXaVFxpQT2Zs7EzmjMSqO0NkfrEaKZ44usU9sg
